"","X","display","randomise_blocks","randomise_trials","ANSWER","animation","responseQuestion","Dilemma","DilemmaByContext","Prohibited.act","PDE","PDE.SE_notME","PDE.GE.BE","PDE.noBA","MG.Permissible","TVideo_1","Agent","Context","PBH"
"1",1,"experimentInstructions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"Trial",NA,1,NA,"Footbridge_PHA_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA","FootbridgePHA","Yes","No","No","Yes","Yes","No","Footbridge_PHA_Trolley_AI.mp4","AI","trolley","Yes"
"93",93,"Trial",NA,1,NA,"Footbridge_PHO_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHO","FootbridgePHO","Yes","No","Yes","Yes","Yes","No","Footbridge_PHO_Trolley_AI.mp4","AI","trolley","Yes"
"94",94,"Trial",NA,1,NA,"Footbridge_PHA&O_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA&O","FootbridgePHA&O","Yes","No","No","Yes","Yes","No","Footbridge_PHA&O_Trolley_AI.mp4","AI","trolley","Yes"
"95",95,"Trial",NA,1,NA,"ExpensiveRescue_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","ExpensiveRescue","ExpensiveRescue","No","Yes","Yes","Yes","Yes","Yes","ExpensiveRescue_Trolley_AI.mp4","AI","trolley","No"
"96",96,"Trial",NA,1,NA,"InexpensiveRescue_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","InexpensiveRescue","InexpensiveRescue","No","Yes","Yes","Yes","Yes","Yes","InexpensiveRescue_Trolley_AI.mp4","AI","trolley","No"
"97",97,"Trial",NA,1,NA,"SubstitutedConsent_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Trolley_AI.mp4","AI","trolley","Yes"
"98",98,"Trial",NA,1,NA,"HypotheticalConsent_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","HypotheticalConsent","HypotheticalConsent","No","No","No","Yes","Yes","Yes","HypotheticalConsent_Trolley_AI.mp4","AI","trolley","No"
"99",99,"Trial",NA,1,NA,"SuicidalRescue_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw himself?","SuicidalRescue","SuicidalRescue","Yes","Yes","Yes","Yes","Yes","Yes","SuicidalRescue_Trolley_AI.mp4","AI","trolley","Yes"
"100",100,"Trial",NA,1,NA,"EfficientRisk_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","EfficientRisk","EfficientRisk","No","Yes","Yes","Yes","Yes","Yes","EfficientRisk_Trolley_AI.mp4","AI","trolley","No"
"101",101,"Trial",NA,1,NA,"InefficientRisk_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","InefficientRisk","InefficientRisk","No","No","Yes","No","Yes","No","InefficientRisk_Trolley_AI.mp4","AI","trolley","No"
"102",102,"Trial",NA,1,NA,"DropEquipment_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","DropEquipment","DropEquipment","No","No","No","Yes","Yes","Yes","DropEquipment_Trolley_AI.mp4","AI","trolley","No"
"103",103,"Trial",NA,1,NA,"ExpensiveCollapse_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","ExpensiveCollapse","ExpensiveCollapse","No","Yes","Yes","Yes","Yes","Yes","ExpensiveCollapse_Trolley_AI.mp4","AI","trolley","No"
"104",104,"Trial",NA,1,NA,"Bystander_PHO_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BystanderPHO","BystanderPHOCrane","Yes","No","Yes","Yes","Yes","No","Bystander_PHO_Crane_AI.mp4","AI","crane","Yes"
"105",105,"Trial",NA,1,NA,"Bystander_PHA&O_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BystanderPHA&O","BystanderPHA&OCrane","Yes","No","No","Yes","Yes","No","Bystander_PHA&O_Crane_AI.mp4","AI","crane","Yes"
"106",106,"Trial",NA,1,NA,"Footbridge_PHA_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA","FootbridgePHACrane","Yes","No","No","Yes","Yes","No","Footbridge_PHA_Crane_AI.mp4","AI","crane","Yes"
"107",107,"Trial",NA,1,NA,"Footbridge_PHO_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHO","FootbridgePHOCrane","Yes","No","Yes","Yes","Yes","No","Footbridge_PHO_Crane_AI.mp4","AI","crane","Yes"
"108",108,"Trial",NA,1,NA,"Footbridge_PHA&O_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA&O","FootbridgePHA&OCrane","Yes","No","No","Yes","Yes","No","Footbridge_PHA&O_Crane_AI.mp4","AI","crane","Yes"
"109",109,"Trial",NA,1,NA,"ExpensiveRescue_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","ExpensiveRescue","ExpensiveRescueCrane","No","Yes","Yes","Yes","Yes","Yes","ExpensiveRescue_Crane_AI.mp4","AI","crane","No"
"110",110,"Trial",NA,1,NA,"InexpensiveRescue_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","InexpensiveRescue","InexpensiveRescueCrane","No","Yes","Yes","Yes","Yes","Yes","InexpensiveRescue_Crane_AI.mp4","AI","crane","No"
"111",111,"Trial",NA,1,NA,"SubstitutedConsent_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsentCrane","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Crane_AI.mp4","AI","crane","Yes"
"112",112,"Trial",NA,1,NA,"HypotheticalConsent_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","HypotheticalConsent","HypotheticalConsentCrane","No","No","No","Yes","Yes","Yes","HypotheticalConsent_Crane_AI.mp4","AI","crane","No"
"113",113,"Trial",NA,1,NA,"SuicidalRescue_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw himself?","SuicidalRescue","SuicidalRescueCrane","Yes","Yes","Yes","Yes","Yes","Yes","SuicidalRescue_Crane_AI.mp4","AI","crane","Yes"
"114",114,"Trial",NA,1,NA,"EfficientRisk_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","EfficientRisk","EfficientRiskCrane","No","Yes","Yes","Yes","Yes","Yes","EfficientRisk_Crane_AI.mp4","AI","crane","No"
"115",115,"Trial",NA,1,NA,"InefficientRisk_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","InefficientRisk","InefficientRiskCrane","No","No","Yes","No","Yes","No","InefficientRisk_Crane_AI.mp4","AI","crane","No"
"116",116,"Trial",NA,1,NA,"DropEquipment_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","DropEquipment","DropEquipmentCrane","No","No","No","Yes","Yes","Yes","DropEquipment_Crane_AI.mp4","AI","crane","No"
"117",117,"Trial",NA,1,NA,"ExpensiveCollapse_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","ExpensiveCollapse","ExpensiveCollapseCrane","No","Yes","Yes","Yes","Yes","Yes","ExpensiveCollapse_Crane_AI.mp4","AI","crane","No"
"118",118,"Trial",NA,1,NA,"BetterAlternative_DisproportionateCost_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","BetterAlternative_DisproportionateCost_","BetterAlternative_DisproportionateCost_Trolley","Yes","No","Yes","No","No","No","BetterAlternative_DisproportionateCost_Trolley_AI.mp4","AI","trolley","Yes"
"119",119,"Trial",NA,1,NA,"Footbridge_Equipment_Save_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","Footbridge_Equipment_Save_","Footbridge_Equipment_Save_Trolley","Yes","No","Yes","No","Yes","No","Footbridge_Equipment_Save_Trolley_AI.mp4","AI","trolley","Yes"
"120",120,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley","No","No","No","No","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley_AI.mp4","AI","trolley","No"
"121",121,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_DisproportionateCost_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_DisproportionateCost_","Unprohibted_BetterAlternative_DisproportionateCost_Trolley","No","No","Yes","No","No","Yes","Unprohibted_BetterAlternative_DisproportionateCost_Trolley_AI.mp4","AI","trolley","No"
"122",122,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_Equipment_Intended_","Unprohibted_BetterAlternative_Equipment_Intended_Trolley","No","No","No","Yes","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_Trolley_AI.mp4","AI","trolley","No"
"123",123,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_","Unprohibted_BetterAlternative_Trolley","No","No","Yes","Yes","No","Yes","Unprohibted_BetterAlternative_Trolley_AI.mp4","AI","trolley","No"
"124",124,"Trial",NA,1,NA,"BetterAlternative_DisproportionateCost_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BetterAlternative_DisproportionateCost_","BetterAlternative_DisproportionateCost_Crane","Yes","No","Yes","No","No","No","BetterAlternative_DisproportionateCost_Crane_AI.mp4","AI","crane","Yes"
"125",125,"Trial",NA,1,NA,"Footbridge_Equipment_Save_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","Footbridge_Equipment_Save_","Footbridge_Equipment_Save_Crane","Yes","No","Yes","No","Yes","No","Footbridge_Equipment_Save_Crane_AI.mp4","AI","crane","Yes"
"126",126,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane","No","No","No","No","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane_AI.mp4","AI","crane","No"
"127",127,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_DisproportionateCost_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_DisproportionateCost_","Unprohibted_BetterAlternative_DisproportionateCost_Crane","No","No","Yes","No","No","Yes","Unprohibted_BetterAlternative_DisproportionateCost_Crane_AI.mp4","AI","crane","No"
"128",128,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Equipment_Intended_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_Equipment_Intended_","Unprohibted_BetterAlternative_Equipment_Intended_Crane","No","No","No","Yes","No","Yes","Unprohibted_BetterAlternative_Equipment_Intended_Crane_AI.mp4","AI","crane","No"
"129",129,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_","Unprohibted_BetterAlternative_Crane","No","No","Yes","Yes","No","Yes","Unprohibted_BetterAlternative_Crane_AI.mp4","AI","crane","No"
"130",130,"Trial",NA,1,NA,"SubstitutedConsent_2_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent2Trolley","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Trolley_AI.mp4","AI","trolley","Yes"
"131",131,"Trial",NA,1,NA,"SubstitutedConsent_2_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent2Trolley","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Trolley_AI.mp4","Human","trolley","Yes"
"132",132,"Trial",NA,1,NA,"SubstitutedConsent_2_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent2Crane","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Crane_AI.mp4","AI","crane","Yes"
"133",133,"Trial",NA,1,NA,"SubstitutedConsent_2_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent2Crane","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Crane_AI.mp4","Human","crane","Yes"
"134",134,"Trial",NA,1,NA,"Omission_Footbridge_PHO_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the man?","OmissionFootbridgePHO","OmissionFootbridgePHOTrolley","No","No","Yes","No","Yes","Yes","Omission_Footbridge_PHO_Trolley_newtimings.mp4","Human","trolley","No"
"135",135,"Trial",NA,1,NA,"Omission_Footbridge_PHO_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the man?","OmissionFootbridgePHO","OmissionFootbridgePHOTrolley","No","No","Yes","No","Yes","Yes","Omission_Footbridge_PHO_Trolley_AI.mp4","AI","trolley","No"
"136",136,"Trial",NA,1,NA,"Omission_Bystander_PHO_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the switch?","OmissionBystanderPHO","OmissionBystanderPHOTrolley","No","No","Yes","No","Yes","Yes","Omission_Bystander_PHO_Trolley_newtimings.mp4","Human","trolley","No"
"137",137,"Trial",NA,1,NA,"Omission_Bystander_PHO_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the switch?","OmissionBystanderPHO","OmissionBystanderPHOTrolley","No","No","Yes","No","Yes","Yes","Omission_Bystander_PHO_Trolley_AI.mp4","AI","trolley","No"
"138",138,"Trial",NA,1,NA,"Omission_Footbridge_PHO_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the man?","OmissionFootbridgePHO","OmissionFootbridgePHOCrane","No","No","Yes","No","Yes","Yes","Omission_Footbridge_PHO_Crane_newtimings.mp4","Human","Crane","No"
"139",139,"Trial",NA,1,NA,"Omission_Footbridge_PHO_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to throw the man?","OmissionFootbridgePHO","OmissionFootbridgePHOCrane","No","No","Yes","No","Yes","Yes","Omission_Footbridge_PHO_Crane_AI.mp4","AI","Crane","No"
"140",140,"Trial",NA,1,NA,"Omission_Bystander_PHO_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to press the button?","OmissionBystanderPHO","OmissionBystanderPHOCrane","No","No","Yes","No","Yes","Yes","Omission_Bystander_PHO_Crane_newtimings.mp4","Human","Crane","No"
"141",141,"Trial",NA,1,NA,"Omission_Bystander_PHO_Crane_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent <strong>not</strong> to press the button?","OmissionBystanderPHO","OmissionBystanderPHOCrane","No","No","Yes","No","Yes","Yes","Omission_Bystander_PHO_Crane_AI.mp4","AI","Crane","No"
"142",142,"Trial",NA,1,NA,"DropEquipment_Crane_Hang.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","DropEquipment","DropEquipmentCraneHang","No","No","Yes","Yes","Yes","Yes","DropEquipment_Crane_Hang.mp4","Human","Crane","No"
"143",143,"Trial",NA,1,NA,"DropMan_Crane_Hang.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","drop man","DropManCraneHang","Yes","No","No","Yes","Yes","No","DropMan_Crane_Hang.mp4","Human","Crane","Yes"
"144",144,"Trial",NA,1,NA,"DropMan_Crane_Hang_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","drop man","DropManCraneHang","Yes","No","No","Yes","Yes","No","DropMan_Crane_Hang_AI.mp4","AI","Crane","Yes"
"145",145,"Trial",NA,1,NA,"DropEquipment_Crane_Hang_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","DropEquipment","DropEquipmentCraneHang","No","No","Yes","Yes","Yes","Yes","DropEquipment_Crane_Hang_AI.mp4","AI","Crane","No"
"146",146,"Trial",NA,1,NA,"Bystander_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","bystander","bystanderTruck","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Truck_newtimings.mp4","Human","truck","Yes"
"147",147,"Trial",NA,1,NA,"Footbridge_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridgeTruck","No","Yes","Yes","Yes","No","No","Footbridge_Truck_newtimings.mp4","Human","truck","No"
"148",148,"Trial",NA,1,NA,"ExpensiveEquipment_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","expensive equipment","expensive equipmentTruck","Yes","No","No","Yes","No","No","ExpensiveEquipment_Truck_newtimings.mp4","Human","truck","Yes"
"149",149,"Trial",NA,1,NA,"ImpliedConsent_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consentTruck","Yes","Yes","Yes","Yes","Yes","Yes","ImpliedConsent_Truck_newtimings.mp4","Human","truck","Yes"
"150",150,"Trial",NA,1,NA,"IntentionalHomicide_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","intentional homicide","intentional homicideTruck","No","Yes","Yes","Yes","No","No","IntentionalHomicide_Truck_newtimings.mp4","Human","truck","No"
"151",151,"Trial",NA,1,NA,"LoopTrack_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","loop","loopTruck","No","Yes","Yes","Yes","No","No","LoopTrack_Truck_newtimings.mp4","Human","truck","No"
"152",152,"Trial",NA,1,NA,"ManInFront_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","man-in-front","man-in-frontTruck","Yes","Yes","Yes","Yes","Yes","Yes","ManInFront_Truck_newtimings.mp4","Human","truck","Yes"
"153",153,"Trial",NA,1,NA,"CostlessRescue_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","costless rescue","costless rescueTruck","Yes","Yes","Yes","No","Yes","Yes","CostlessRescue_Truck_newtimings.mp4","Human","truck","Yes"
"154",154,"Trial",NA,1,NA,"BetterAlternative_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","better alternative","better alternativeTruck","Yes","Yes","No","Yes","No","No","BetterAlternative_Truck_newtimings.mp4","Human","truck","Yes"
"155",155,"Trial",NA,1,NA,"DisproportionalDeath_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","disproportionate death","disproportionate deathTruck","Yes","No","No","Yes","No","No","DisproportionalDeath_Truck_newtimings.mp4","Human","truck","Yes"
"156",156,"Trial",NA,1,NA,"DropMan_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","drop man","drop manTruck","No","Yes","Yes","Yes","No","No","DropMan_Truck_newtimings.mp4","Human","truck","No"
"157",157,"Trial",NA,1,NA,"CollapseBridge_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","collapse bridge","collapse bridgeTruck","Yes","Yes","Yes","Yes","Yes","Yes","CollapseBridge_Truck_newtimings.mp4","Human","truck","Yes"
"158",158,"Trial",NA,1,NA,"Bystander_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","bystander","bystanderMine","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Mine_newtimings.mp4","Human","mine","Yes"
"159",159,"Trial",NA,1,NA,"Footbridge_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridgeMine","No","Yes","Yes","Yes","No","No","Footbridge_Mine_newtimings.mp4","Human","mine","No"
"160",160,"Trial",NA,1,NA,"ExpensiveEquipment_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","expensive equipment","expensive equipmentMine","Yes","No","No","Yes","No","No","ExpensiveEquipment_Mine_newtimings.mp4","Human","mine","Yes"
"161",161,"Trial",NA,1,NA,"Implied_Consent_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consentMine","Yes","Yes","Yes","Yes","Yes","Yes","Implied_Consent_Mine_newtimings.mp4","Human","mine","Yes"
"162",162,"Trial",NA,1,NA,"IntentionalHomicide_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","intentional homicide","intentional homicideMine","No","Yes","Yes","Yes","No","No","IntentionalHomicide_Mine_newtimings.mp4","Human","mine","No"
"163",163,"Trial",NA,1,NA,"LoopTrack_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","loop","loopMine","No","Yes","Yes","Yes","No","No","LoopTrack_Mine_newtimings.mp4","Human","mine","No"
"164",164,"Trial",NA,1,NA,"ManInFront_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","man-in-front","man-in-frontMine","Yes","Yes","Yes","Yes","Yes","Yes","ManInFront_Mine_newtimings.mp4","Human","mine","Yes"
"165",165,"Trial",NA,1,NA,"CostlessRescue_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","costless rescue","costless rescueMine","Yes","Yes","Yes","No","Yes","Yes","CostlessRescue_Mine_newtimings.mp4","Human","mine","Yes"
"166",166,"Trial",NA,1,NA,"BetterAlternative_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","better alternative","better alternativeMine","Yes","Yes","No","Yes","No","No","BetterAlternative_Mine_newtimings.mp4","Human","mine","Yes"
"167",167,"Trial",NA,1,NA,"DisproportionalDeath_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","disproportionate death","disproportionate deathMine","Yes","No","No","Yes","No","No","DisproportionalDeath_Mine_newtimings.mp4","Human","mine","Yes"
"168",168,"Trial",NA,1,NA,"DropMan_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","drop man","drop manMine","No","Yes","Yes","Yes","No","No","DropMan_Mine_newtimings.mp4","Human","mine","No"
"169",169,"Trial",NA,1,NA,"CollapseBridge_Mine_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","collapse bridge","collapse bridgeMine","Yes","Yes","Yes","Yes","Yes","Yes","CollapseBridge_Mine_newtimings.mp4","Human","mine","Yes"
"170",170,"Trial",NA,1,NA,"Bystander_PHO_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","BystanderPHO","BystanderPHOTruck","Yes","No","Yes","Yes","Yes","No","Bystander_PHO_Truck_newtimings.mp4","Human","truck","Yes"
"171",171,"Trial",NA,1,NA,"Bystander_PHA&O_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","BystanderPHA&O","BystanderPHA&OTruck","No","Yes","Yes","Yes","No","No","Bystander_PHA&O_Truck_newtimings.mp4","Human","truck","No"
"172",172,"Trial",NA,1,NA,"Footbridge_PHA_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA","FootbridgePHATruck","No","Yes","Yes","Yes","No","No","Footbridge_PHA_Truck_newtimings.mp4","Human","truck","No"
"173",173,"Trial",NA,1,NA,"Footbridge_PHO_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHO","FootbridgePHOTruck","Yes","Yes","Yes","Yes","No","No","Footbridge_PHO_Truck_newtimings.mp4","Human","truck","Yes"
"174",174,"Trial",NA,1,NA,"Footbridge_PHA&O_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA&O","FootbridgePHA&OTruck","No","Yes","Yes","Yes","No","No","Footbridge_PHA&O_Truck_newtimings.mp4","Human","truck","No"
"175",175,"Trial",NA,1,NA,"ExpensiveRescue_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","ExpensiveRescue","ExpensiveRescueTruck","Yes","Yes","Yes","No","Yes","Yes","ExpensiveRescue_Truck_newtimings.mp4","Human","truck","Yes"
"176",176,"Trial",NA,1,NA,"InexpensiveRescue_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to alert the driver to turn left?","InexpensiveRescue","InexpensiveRescueTruck","Yes","Yes","Yes","No","Yes","Yes","InexpensiveRescue_Truck_newtimings.mp4","Human","truck","Yes"
"177",177,"Trial",NA,1,NA,"SubstitutedConsent_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsentTruck","No","Yes","Yes","Yes","No","Yes","SubstitutedConsent_Truck_newtimings.mp4","Human","truck","No"
"178",178,"Trial",NA,1,NA,"HypotheticalConsent_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","HypotheticalConsent","HypotheticalConsentTruck","No","Yes","Yes","No","No","Yes","HypotheticalConsent_Truck_newtimings.mp4","Human","truck","No"
"179",179,"Trial",NA,1,NA,"SuicidalRescue_Truck_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw himself?","SuicidalRescue","SuicidalRescueTruck","Yes","Yes","Yes","Yes","Yes","Yes","SuicidalRescue_Truck_newtimings.mp4","Human","truck","Yes"
